Дата,Цена Bitcoin,Цена Ethereum
2018-03-10,8762.0,682.52
2018-03-11,9529.6,720.12
2018-03-12,9137.4,697.04
2018-03-13,9154.9,689.57
2018-03-14,8210.6,612.09
2018-03-15,8264.4,610.13
2018-03-16,8289.2,600.79
2018-03-17,7874.9,550.27
2018-03-18,8201.2,536.72
2018-03-19,8616.8,556.16
2018-03-20,8912.6,557.08
2018-03-21,8905.9,560.24
2018-03-22,8726.2,539.87
2018-03-23,8916.8,543.42
2018-03-24,8547.4,520.45
2018-03-25,8473.2,523.5
2018-03-26,8143.5,485.98
2018-03-27,7801.7,448.48
2018-03-28,7954.9,446.84
2018-03-29,7129.2,384.12
2018-03-30,6853.7,393.79
2018-03-31,6938.2,393.96
2018-04-01,6825.2,378.75
2018-04-02,7068.4,385.07
2018-04-03,7424.2,415.55
2018-04-04,6808.9,378.68
2018-04-05,6782.0,381.52
2018-04-06,6624.3,369.97
2018-04-07,6905.7,384.87
2018-04-08,7030.5,400.71
2018-04-09,6781.9,399.05
2018-04-10,6854.8,415.45
2018-04-11,6962.1,430.14
2018-04-12,7926.6,494.03
2018-04-13,7887.4,493.48
2018-04-14,8004.4,502.52
2018-04-15,8363.6,533.9
2018-04-16,8070.0,511.82
2018-04-17,7908.6,503.19
2018-04-18,8178.4,525.66
2018-04-19,8290.8,567.49
2018-04-20,8867.0,617.04
2018-04-21,8923.1,605.59
2018-04-22,8806.7,622.23
2018-04-23,8952.8,644.13
2018-04-24,9645.3,703.02
2018-04-25,8873.1,617.36
2018-04-26,9287.0,662.36
2018-04-27,8940.9,643.97
2018-04-28,9352.4,683.49
2018-04-29,9415.1,689.9
2018-04-30,9245.1,670.07
2018-05-01,9074.9,671.26
2018-05-02,9243.2,688.15
2018-05-03,9749.7,778.95
2018-05-04,9708.6,785.2
2018-05-05,9853.5,818.33
2018-05-06,9656.4,793.19
2018-05-07,9431.6,754.03
2018-05-08,9196.4,748.48
2018-05-09,9319.1,751.62
2018-05-10,9025.7,724.4
2018-05-11,8408.3,676.21
2018-05-12,8459.5,683.94
2018-05-13,8693.5,729.37
2018-05-14,8674.1,727.06
2018-05-15,8477.0,705.73
2018-05-16,8344.4,706.53
2018-05-17,8063.0,668.97
2018-05-18,8245.7,693.28
2018-05-19,8245.1,696.76
2018-05-20,8529.0,716.02
2018-05-21,8403.3,696.85
2018-05-22,8006.0,642.17
2018-05-23,7512.3,577.55
2018-05-24,7592.9,602.43
2018-05-25,7477.7,585.39
2018-05-26,7361.3,586.76
2018-05-27,7366.7,570.69
2018-05-28,7119.3,512.29
2018-05-29,7467.7,566.81
2018-05-30,7400.1,557.98
2018-05-31,7502.6,577.87
2018-06-01,7530.8,579.3
2018-06-02,7646.6,591.3
2018-06-03,7729.3,619.08
2018-06-04,7504.3,591.44
2018-06-05,7631.5,608.83
2018-06-06,7661.0,606.39
2018-06-07,7697.8,604.71
2018-06-08,7622.1,599.67
2018-06-09,7515.8,593.8
2018-06-10,6775.1,524.64
2018-06-11,6885.9,531.42
2018-06-12,6558.2,494.48
2018-06-13,6312.3,476.17
2018-06-14,6647.1,519.49
2018-06-15,6410.3,487.88
2018-06-16,6505.8,496.93
2018-06-17,6460.3,496.43
2018-06-18,6719.8,517.91
2018-06-19,6752.4,538.22
2018-06-20,6765.4,536.31
2018-06-21,6728.0,526.01
2018-06-22,6055.7,462.57
2018-06-23,6167.3,474.14
2018-06-24,6154.6,454.81
2018-06-25,6256.6,458.76
2018-06-26,6082.1,430.33
2018-06-27,6154.9,442.16
2018-06-28,5883.5,421.27
2018-06-29,6213.3,435.37
2018-06-30,6398.9,452.67
2018-07-01,6366.8,452.57
2018-07-02,6619.5,475.7
2018-07-03,6513.5,461.89
2018-07-04,6598.4,467.52
2018-07-05,6546.5,468.47
2018-07-06,6617.7,469.9
2018-07-07,6765.5,485.4
2018-07-08,6714.8,486.45
2018-07-09,6667.1,471.52
2018-07-10,6307.2,432.67
2018-07-11,6389.1,445.99
2018-07-12,6250.6,430.84
2018-07-13,6230.2,432.85
2018-07-14,6254.8,434.09
2018-07-15,6362.9,450.81
2018-07-16,6729.9,479.79
2018-07-17,7322.0,499.87
2018-07-18,7383.6,480.0
2018-07-19,7477.5,469.47
2018-07-20,7339.4,449.38
2018-07-21,7408.7,461.52
2018-07-22,7412.3,459.02
2018-07-23,7723.0,450.56
2018-07-24,8407.0,479.88
2018-07-25,8173.7,472.03
2018-07-26,7937.0,462.75
2018-07-27,8187.4,470.23
2018-07-28,8234.1,468.78
2018-07-29,8215.6,466.41
2018-07-30,8177.1,456.64
2018-07-31,7729.4,431.5
2018-08-01,7606.4,420.3
2018-08-02,7535.6,411.0
2018-08-03,7419.0,417.58
2018-08-04,7014.3,407.09
2018-08-05,7027.1,408.85
2018-08-06,6943.6,405.4
2018-08-07,6724.9,378.25
2018-08-08,6283.6,355.44
2018-08-09,6538.8,363.34
2018-08-10,6152.3,331.81
2018-08-11,6231.6,317.59
2018-08-12,6313.0,318.18
2018-08-13,6255.3,284.01
